t,simElapsedSec,round,fpsAvg,fpsMin,fpsMax,frameMsAvg,frameMsMax,frameCount,cpu.simMsAvg,cpu.syncMsAvg,cpu.renderMsAvg,gpuMsAvg,renderer.calls,renderer.triangles,renderer.lines,renderer.points,renderer.geometries,renderer.textures,renderer.programs,scene.totalObjects,scene.visibleMeshes,scene.hiddenMeshes,scene.lights,scene.shadowCastingLights,game.viewedPlayer,game.viewedCreeps,game.viewedTowers,game.allArenasCreeps,game.allArenasTowers,game.humanoidAnimating,game.lightningArcsActive,game.poisonBubblesActive,memory.usedMB,memory.totalMB,memory.limitMB
0.1296000000014901,0.85,0,17.431631169324543,0,30.030030030030275,62.55699999989354,250,14,0.27857142793280737,0.5000000005321843,14.257142856184926,,666,37766,0,0,345,2,8,383,352,1,3,1,0,0,0,0,0,0,0,0,17.798471450805664,34.79140281677246,4192
1.0908999999985098,1.85,0,19.997397926244975,14.992503748125978,29.940119760478552,50.835000000000015,66.69999999999982,20,0.04499999918043614,0.375,7.15,,666,37766,0,0,345,2,8,383,352,1,3,1,0,0,0,0,0,0,0,0,18.916833877563477,35.29140281677246,4192
2.09260000000149,2.85,1,20.5017898804661,14.992503748125978,30.030030030029867,49.99499999999998,66.69999999999982,20,0.06499999947845936,0.8900000009685755,6.984999999776482,,666,37766,0,0,345,2,8,647,576,11,3,1,0,0,0,0,5,0,0,0,20.46602439880371,36.42400550842285,4192
3.09710000000149,3.85,1,20.997038979146865,15.015015015014933,30.030030030029867,49.165000000000006,66.60000000000036,20,0.07500000037252903,1.1600000001490116,6.920000000670552,,666,37766,0,0,345,2,8,994,859,27,3,1,0,0,0,0,13,0,0,0,18.087080001831055,37.1352481842041,4192
4.09020000000298,4.85,1,20.50139093320801,14.992503748125978,30.030030030029867,50,66.69999999999982,20,0.0800000000745058,1.175000000372529,7.13999999910593,,666,37766,0,0,345,2,8,1158,994,38,3,1,0,0,0,0,16,0,0,0,20.473814010620117,53.65847587585449,4192
5.085,5.85,1,20.00203600814404,19.960079840319217,20.040080160320787,49.99499999999998,50.100000000000364,20,0.05499999932944775,0.9950000010430813,6.975000000372529,,666,37766,0,0,345,2,8,1199,1003,52,3,1,0,0,0,0,19,0,0,0,21.08458137512207,52.19674873352051,4192
6.0838999999985095,6.85,1,20.49702998811997,19.960079840319217,29.94011976047937,49.16999999999998,50.100000000000364,20,0.05000000037252903,0.6450000002980232,6.924999999254942,,666,37766,0,0,345,2,8,1160,961,55,3,1,0,0,0,0,19,0,0,0,22.210336685180664,52.28418159484863,4192
7.07060000000149,7.8,1,20.501030004120008,19.960079840319942,29.94011976047937,49.16000000000004,50.099999999998545,20,0.059999999776482585,0.4550000000745058,6.920000000298023,,666,37766,0,0,345,2,8,1116,914,58,3,1,0,0,0,0,19,0,0,0,21.031335830688477,52.32336616516113,4192
8.055899999998509,8.85,1,19.498395930237017,14.992503748126182,20.040080160320787,51.66999999999998,66.69999999999891,20,0.06500000059604645,0.43500000014901163,7.240000000968576,,666,37766,0,0,345,2,8,1116,914,58,3,1,0,0,0,0,19,0,0,0,19.135300636291504,52.3234224319458,4192
9.07810000000149,11.7,1,19.750774750846745,15.015015015014933,20.040080160320787,50.83000000000002,66.60000000000036,20,0.07500000037252903,0.44499999955296515,7.105000000447035,,666,37766,0,0,345,2,8,1116,914,58,3,1,0,0,0,0,19,0,0,0,33.28015613555908,52.32349872589111,4192
