t,simElapsedSec,round,fpsAvg,fpsMin,fpsMax,frameMsAvg,frameMsMax,frameCount,simDtMsAvg,cpu.simMsAvg,cpu.syncMsAvg,cpu.renderMsAvg,gpuMsAvg,renderer.calls,renderer.triangles,renderer.lines,renderer.points,renderer.geometries,renderer.textures,renderer.programs,scene.totalObjects,scene.visibleMeshes,scene.hiddenMeshes,scene.lights,scene.shadowCastingLights,game.viewedPlayer,game.viewedCreeps,game.viewedTowers,game.allArenasCreeps,game.allArenasTowers,game.humanoidAnimating,game.lightningArcsActive,game.poisonBubblesActive,memory.usedMB,memory.totalMB,memory.limitMB
0.13039999999850987,0.85,0,16.62524282735688,0,20.040080160320606,71.36428571460503,366.57000000000016,14,63.03785714317645,0.2071428575686046,0.48571428443704334,14.507142857249294,,666,37766,0,0,345,2,8,383,352,1,3,1,0,0,0,0,0,0,0,0,20.145973205566406,32.08620834350586,4192
1.0892999999970199,1.85,0,20.49904999619999,19.9600798403194,29.94011976047937,49.165000000000006,50.09999999999991,20,49.165000000000006,0.039999999850988385,0.38999999947845937,7.189999999850988,,666,37766,0,0,345,2,8,383,352,1,3,1,0,0,0,0,0,0,0,0,21.20574188232422,32.08620834350586,4192
2.0697999999970196,2.8,1,20.750160685043806,14.992503748125774,30.030030030029867,49.164999999999964,66.70000000000073,20,49.164999999999964,0.059999999776482585,0.9850000008940697,7.004999998956919,,666,37766,0,0,345,2,8,619,548,11,3,1,0,0,0,0,5,0,0,0,21.35196304321289,34.43203353881836,4192
3.0596999999955297,3.85,1,20.477628096698567,19.960079840319217,30.030030030029867,49.20476190476192,50.100000000000364,21,49.20476190476192,0.09047619005044301,0.9476190486124584,6.942857142360437,,666,37766,0,0,345,2,8,811,708,19,3,1,0,0,0,0,9,0,0,0,17.782424926757812,34.84135055541992,4192
4.0962999999970195,4.85,1,20.000008000032,19.960079840319217,20.040080160320787,50,50.100000000000364,20,50,0.06999999918043613,1.0699999995529652,6.795000000670552,,666,37766,0,0,345,2,8,1025,877,34,3,1,0,0,0,0,14,0,0,0,19.421123504638672,36.560646057128906,4192
5.0865,5.85,1,20.49902599610399,19.960079840319217,29.94011976047937,49.165000000000006,50.100000000000364,20,49.165000000000006,0.06999999918043613,0.7400000005960464,7.124999999627471,,666,37766,0,0,345,2,8,968,816,38,3,1,0,0,0,0,14,0,0,0,22.22890853881836,53.71149444580078,4192
6.07609999999404,6.8,1,20.501517501565534,19.960079840319217,30.030030030030687,49.164999999999964,50.100000000000364,20,49.164999999999964,0.04000000022351742,0.5949999999254942,6.799999999254942,,666,37766,0,0,345,2,8,970,813,43,3,1,0,0,0,0,14,0,0,0,22.041641235351562,53.73633575439453,4192
7.05829999999702,7.85,1,20.47765095393281,19.960079840319942,30.030030030029046,49.20476190476196,50.099999999998545,21,49.20476190476196,0.05238095245191029,0.4238095237385659,6.709523809452851,,666,37766,0,0,345,2,8,921,764,43,3,1,0,0,0,0,14,0,0,0,22.992252349853516,53.72571563720703,4192
8.08889999999851,8.85,1,20.50154950169354,19.960079840319217,30.030030030030687,49.164999999999964,50.100000000000364,20,49.164999999999964,0.044999999925494194,0.4300000000745058,6.769999999552965,,666,37766,0,0,345,2,8,921,764,43,3,1,0,0,0,0,14,0,0,0,20.919081687927246,53.7257719039917,4192
9.06959999999404,11.6,1,20.49904999619993,19.960079840319217,29.94011976047774,49.165000000000056,50.100000000000364,20,49.165000000000056,0.075,0.39999999962747096,6.909999999031425,,666,37766,0,0,345,2,8,921,764,43,3,1,0,0,0,0,14,0,0,0,34.94655513763428,53.72584819793701,4192
